station_code,country,lat,lon,n_obs
CZPLA-9,CZ,50.12400,16.07618,38
CZPMO-1132,CZ,49.75564,16.97612,14
CZPMO-1134,CZ,49.52982,17.27062,26
CZPMO-1166,CZ,49.74561,16.94652,14
CZPMO-1167,CZ,49.71823,17.16264,23
CZPMO-1168,CZ,49.39514,17.26497,11
CZPMO-1169,CZ,49.33093,17.33882,13
CZPMO-1171,CZ,49.50165,17.90728,6
CZPMO-1173,CZ,49.47430,18.00763,10
CZPMO-1174,CZ,49.20902,17.52160,17
CZPMO-1175,CZ,49.04677,17.42601,17
CZPMO-1181,CZ,48.95027,16.61823,27
CZPMO-1185,CZ,49.04468,16.61746,14
CZPMO-1188,CZ,48.92784,16.57251,31
CZPMO-1189,CZ,49.11116,16.35212,12
CZPMO-1190,CZ,49.08607,16.37874,11
CZPMO-1193,CZ,48.74377,16.38141,5
CZPMO-1196,CZ,48.71759,16.97093,16
CZPMO-1197,CZ,48.82416,16.46628,7
CZPMO-1199,CZ,49.09408,16.61979,2
CZPMO-1201,CZ,49.14763,16.63098,20
CZPMO-1202,CZ,49.20937,15.99148,10
CZPMO-1205,CZ,,,30
CZPMO-1209,CZ,48.95757,17.09347,2
CZPMO-3546,CZ,49.95144,16.87239,3
CZPMO-3554,CZ,49.35311,17.32006,3
CZPMO-3636,CZ,50.07663,16.95792,5
CZPMO-3639,CZ,49.91247,16.93182,12
CZPMO-3643,CZ,49.86105,16.91279,14
CZPMO-3664,CZ,49.44424,17.97033,19
CZPMO-3670,CZ,49.42821,17.32850,34
CZPMO-3684,CZ,48.91061,17.31105,3
CZPMO-3686,CZ,49.40047,16.36433,6
CZPMO-3742,CZ,48.95678,15.47304,24
CZPMO-3764,CZ,48.81764,16.83268,5
CZPMO-3770,CZ,49.59401,17.32342,5
CZPMO-3950,CZ,48.88515,17.21104,13
CZPMO-3952,CZ,49.88765,16.92309,7
CZPMO-3953,CZ,49.08558,16.31681,5
CZPMO-401,CZ,48.68750,16.98913,20
CZPMO-402,CZ,48.72350,16.88532,20
CZPMO-501-002,CZ,49.33131,16.43920,9
CZPMO-501-007,CZ,49.25349,16.45886,1
CZPMO-501-011,CZ,49.40699,16.63370,3
CZPMO-501-015,CZ,49.40559,16.77937,3
CZPMO-501-031,CZ,49.17385,16.75401,4
CZPMO-501-032,CZ,49.06693,16.67541,6
CZPMO-502-006,CZ,48.98269,16.92001,4
CZPMO-502-035,CZ,49.01847,16.61179,5
CZPMO-503-016,CZ,48.95728,17.09419,3
CZPMO-503-028,CZ,48.81988,17.51089,1
CZPMO-504-019,CZ,49.02964,15.38783,3
CZPMO-504-022,CZ,48.99127,15.35896,3
CZPMO-505-013,CZ,49.27491,17.39512,2
CZPMO-505-017,CZ,49.21841,17.50331,3
