scope,key,n,samples,samples_below,below_loq,loq_gt_30pct_eqs,below_loq_no_loq,no_loq_any,qc_loq_unknown,declared_and_bounded,declared_not_bounded,undeclared_but_bounded,silent,has_eqs,loq_gt_eqs,censored,censored_with_value
substance,Chrysene,10403,74902,48090,9259,0,0,550,550,9853,0,0,550,0,0,7869,7869
substance,"Octylphenol (4-(1,1',3,3'-tetramethylbutyl)-phenol)",10328,88221,73647,9357,0,136,828,828,9495,0,5,828,0,0,8864,8690
substance,Phenanthrene,10325,80462,36702,7767,0,0,360,360,9955,0,10,360,0,0,6315,6315
substance,Fluoride,10225,45918,16482,5181,0,0,38,38,10187,0,0,38,0,0,4125,4125
substance,Ametryn,10124,74040,62448,9477,0,0,643,643,9451,0,30,643,0,0,9439,9439
substance,Pyrene,10055,73383,37524,7864,0,0,506,506,9549,0,0,506,0,0,6720,6720
substance,Mecoprop,10037,79583,71291,9564,0,128,529,529,9493,0,15,529,0,0,8764,8764
substance,Diazinon,10012,67275,65329,9909,0,0,24,24,9984,0,4,24,0,0,9650,9650
substance,Acid neutralizing capacity,9977,86938,19,110,0,0,4876,0,5101,132,0,4744,0,0,98,98
substance,Antimony,9837,68792,62123,9503,0,0,106,106,9715,0,16,106,0,0,9224,9224
substance,Fenitrothion,9825,66178,55515,8764,0,0,998,998,8807,0,20,998,0,0,8698,8698
substance,Metazachlor,9660,77921,52130,8799,0,0,706,706,8932,0,22,706,0,0,7574,7574
substance,Benzo(a)anthracene,9651,69662,45743,8834,0,0,522,522,9129,0,0,522,0,0,7367,7367
substance,Vanadium and its compounds,9519,74686,29373,6091,0,0,1279,1279,8206,0,34,1279,0,0,5116,5102
substance,"Dibenzo(a,h)anthracene",9450,68913,56645,9006,0,0,430,430,9020,0,0,430,0,0,8720,8720
substance,Molybdenum and its compounds,9211,64180,45547,7945,0,0,263,263,8934,0,14,263,0,0,7104,7104
substance,Aminomethylphosphonic acid (AMPA),9030,63609,32584,6803,0,0,5,5,9025,0,0,5,0,0,4303,4302
substance,Fluorene,8945,68641,39490,7938,0,0,200,200,8745,0,0,200,0,0,6770,6770
substance,"2,4-dichlorophenoxyacetic acid, 2-4 D",8563,65951,49399,7564,0,0,811,811,7734,0,18,811,0,0,7046,7045
substance,Dissolved organic carbon (DOC),8457,86677,50,94,0,0,6122,0,2334,710,1,5412,0,0,56,56
substance,Di(2-ethylhexyl)phthalate (DEHP),8403,71538,48916,7105,4711,396,1348,1348,7052,0,3,1348,8403,632,5822,5648
substance,Metamitron,8207,53049,52116,8160,0,0,39,39,8168,0,0,39,0,0,8083,8083
substance,Pirimicarb,8168,55196,48568,8063,0,0,93,93,8067,0,8,93,0,0,7906,7906
substance,"o,p'-DDE",8120,55207,54157,8004,0,0,59,59,8061,0,0,59,0,0,8001,8001
substance,Endosulfan sulfate,8002,46850,46224,7959,0,0,0,0,8002,0,0,0,0,0,7897,7897
substance,"o,p'-DDD",7792,53850,53315,7733,0,0,59,59,7733,0,0,59,0,0,7715,7715
substance,Acenaphthene,7700,54695,34555,7014,0,0,229,229,7471,0,0,229,0,0,6289,6289
substance,4-nonylphenol,7671,65573,53543,7026,0,124,470,470,7201,0,0,470,0,0,6808,6633
substance,Chlortoluron,7657,57731,49956,7446,0,0,33,33,7614,0,10,33,0,0,6437,6437
substance,Bromacil,7576,54994,40248,7030,0,0,537,537,7015,0,24,537,0,0,6969,6969
substance,Beryllium,7567,56055,43506,7153,0,0,88,88,7443,0,36,88,0,0,6147,6147
substance,Bentazone,7552,62439,39495,6267,0,0,984,984,6544,0,24,984,0,0,5537,5537
substance,Cyanazine,7126,47155,35396,6837,0,0,288,288,6838,0,0,288,0,0,6835,6835
substance,Cypermethrin,7104,51341,49023,7059,7102,0,2,2,7102,0,0,2,7104,7102,6689,6689
substance,Acenaphthylene,7062,46291,34469,6785,0,0,200,200,6862,0,0,200,0,0,6684,6684
substance,Desisopropylatrazine,6988,47892,35387,6516,0,0,449,449,6539,0,0,449,0,0,6433,6433
substance,Tin and its compounds,6956,39574,34365,6568,0,0,135,135,6786,0,35,135,0,0,6491,6479
substance,Bromodichloromethane,6945,33622,32974,6827,0,0,114,114,6831,0,0,114,0,0,6803,6803
substance,Nitrate to orthophosphate ratio,6877,48548,0,0,0,0,6877,0,0,0,0,6877,0,0,0,0
substance,Desethylterbuthylazine,6815,47585,38955,6300,0,0,412,412,6403,0,0,412,0,0,5542,5542
substance,Bromoform,6691,31885,31777,6686,0,0,2,2,6689,0,0,2,0,0,6670,6669
substance,Molinate,6672,39033,38984,6667,0,0,0,0,6672,0,0,0,0,0,6657,6657
substance,Metalaxyl,6627,43430,29580,6098,0,0,501,501,6126,0,0,501,0,0,5947,5947
substance,Chloroalkanes C10-13,6559,54290,51431,6287,3796,2,262,262,6286,0,11,262,6559,923,6124,5987
substance,Oxyfluorfen,6325,40303,37554,6260,0,0,0,0,6325,0,0,0,0,0,5857,5857
substance,Chlorpyrifos-methyl,6200,38866,21437,5758,0,0,431,431,5769,0,0,431,0,0,5752,5752
substance,Dibromochlorometane,6186,29166,29075,6182,0,0,2,2,6184,0,0,2,0,0,6166,6166
substance,Thiacloprid,5820,35113,34650,5816,5726,0,0,0,5820,0,0,0,5820,1899,5771,5771
