substance,cas,annex_i_category,eu_aa_eqs_ug_l,station_years,station_years_with_eqs,below_loq,no_flag_no_limit,loq_above_eqs,loq_above_30pct_eqs,pct_failing_legal_criterion
M-xylene,,,,926,0,907,0,0,0,
"2,6-dichlorophenol",,,,920,0,871,49,0,0,
Methidathion,,,,899,0,899,0,0,0,
Dibutylphthalate,,,,887,0,637,196,0,0,
"PCB 101 (2,2’,4,5,5’-pentachlorobiphenyl)",,,,881,0,719,74,0,0,
"1,2-dibromo-3-chloropropane",,,,881,0,881,0,0,0,
Secchi depth,,,,858,0,0,843,0,0,
Dibromomethane,,,,845,0,845,0,0,0,
"PCB 126 (3,3’,4,4’,5-pentachlorobiphenyl)",,,,844,0,799,45,0,0,
Trimethoprim,,,,840,0,800,1,0,0,
Isobenzane,,,,825,0,825,0,0,0,
2-methylnaphthalene,,,,797,0,686,87,0,0,
"2,4-dinitrotoluene",,,,796,0,796,0,0,0,
"2,4-DB",,,,783,0,781,0,0,0,
Terbufos,,,,782,0,715,67,0,0,
Silicon,,,,779,0,5,0,0,0,
"1,2-dichloroethene",,,,748,0,596,146,0,0,
Metoxuron,,,,739,0,739,0,0,0,
Metobromuron,,,,739,0,739,0,0,0,
Prochloraz,,,,726,0,726,0,0,0,
Thifensulfuron-methyl,,,,724,0,724,0,0,0,
BDE 183  (Heptabromodiphenylether),,,,719,0,711,0,0,0,
Caffeine,,,,714,0,604,4,0,0,
Methomyl,,,,712,0,555,157,0,0,
Perfluorotridecanoic acid (PFTrDA),,,,710,0,710,0,0,0,
Nonadecafluorodecanoic acid,,,,710,0,710,0,0,0,
Perfluorodecanesulfonate (PFDS),,,,710,0,710,0,0,0,
Perfluorohexane-1-sulphonic acid,,,,710,0,701,0,0,0,
Perfluoropentanesulfonic acid (PFPeS),,,,710,0,710,0,0,0,
Perfluoro dodecanoic acid,,,,710,0,710,0,0,0,
Perfluorobutane sulfonic acid,,,,710,0,693,0,0,0,
Perfluoroheptanoic acid,,,,710,0,698,0,0,0,
Perfluoroheptanesulfonic acid (PFHpS),,,,710,0,710,0,0,0,
Perfluorononanoic acid,,,,710,0,706,0,0,0,
Perfluoro undecanoic acid,,,,710,0,710,0,0,0,
2-Ethylhexyl 4-methoxycinnamate,,,,708,0,700,0,0,0,
Naproxen,,,,688,0,627,2,0,0,
Atenolol,,,,688,0,670,3,0,0,
Perfluorononanesulfonic acid (PFNS),,,,676,0,676,0,0,0,
Perfluorotridecanesulfonic acid (PFTrDS),,,,676,0,676,0,0,0,
Perfluorodecane sulfonic acid (PFDoDS),,,,676,0,676,0,0,0,
Perfluoroundecanesulfonic acid (PFUnDS),,,,676,0,676,0,0,0,
Prosulfocarb,,,,671,0,669,0,0,0,
Metoprolol,,,,669,0,430,4,0,0,
Chlorine Cl-,,,,665,0,8,153,0,0,
"PCB 180 (2,2’,3,4,4’,5,5’-heptachlorobiphenyl)",,,,663,0,599,64,0,0,
Hydroxysimazine,,,,658,0,600,57,0,0,
Simetryn,,,,651,0,651,0,0,0,
Dichlorprop-P,,,,625,0,606,19,0,0,
Polychlorinated biphenyls,,,,623,0,38,556,0,0,
"2,4-dichlorophenol",,,,607,0,439,161,0,0,
Dichlorodifluoromethane,,,,593,0,593,0,0,0,
Tebufenozide,,,,592,0,484,108,0,0,
"PCB 209 (5,5’,6,6’-decachlorobiphenyl)",,,,590,0,554,36,0,0,
Heptachlor Epoxide A,,,,581,0,581,0,0,0,
"2,6-Ditert-butyl-4-methylphenol",,,,564,0,563,0,0,0,
Mirex,,,,550,0,502,48,0,0,
"BDE 85 (2,2’,3,4,4’-pentabromodiphenyl ether)",,,,534,0,499,34,0,0,
MTBE,,,,511,0,482,16,0,0,
Chlorite,,,,511,0,509,0,0,0,
Bromate,,,,511,0,511,0,0,0,
Mecoprop-P (MCPP-P),,,,502,0,502,0,0,0,
Metconazole,,,,490,0,489,0,0,0,
Spinosad,,,,490,0,490,0,0,0,
Dimethyl phthalate,,,,467,0,464,3,0,0,
Bromomethane,,,,461,0,455,6,0,0,
Titanium,,,,429,0,237,89,0,0,
Chlorthiamid,,,,415,0,307,108,0,0,
Butyl benzyl phthalate (BBP),,,,409,0,320,80,0,0,
Chromium trioxide (CrO3),,,,401,0,325,20,0,0,
Amoxicillin,,,,387,0,382,0,0,0,
"PCB 194 (1,2,3,4-tetrachloro-5-(2,3,4,5-tetrachlorophenyl)benzene)",,,,371,0,368,3,0,0,
"BDE 138 (2,2’,3,4,4’,5’-hexabromodiphenyl ether)",,,,368,0,334,34,0,0,
"PCB 169 (3,3’,4,4’,5,5’-hexachlorobiphenyl)",,,,364,0,344,20,0,0,
Thiram,,,,358,0,358,0,0,0,
"PCB 77 (3,3’,4,4’-tetrachlorobiphenyl)",,,,358,0,333,25,0,0,
Metsulfuronmethyl,,,,352,0,350,2,0,0,
Terbumeton-Desethyl,,,,350,0,349,0,0,0,
Imidacloprid (Watch list only alternative code),,,,346,346,320,0,99,206,59.54
Hexabromocyclododecanes (HBCDD),,,,344,0,336,0,0,0,
P-xylene,,,,344,0,344,0,0,0,
Paraoxon,,,,341,0,341,0,0,0,
3-methyl-4-chlorophenol,,,,336,0,336,0,0,0,
Diclofop,,,,334,0,333,0,0,0,
Fenazaquin,,,,320,0,319,1,0,0,
"Brominated diphenylethers (congener numbers 28, 47, 99, 100, 153 and 154)",,,,318,0,318,0,0,0,
Di-ethyl phthalate,,,,316,0,310,6,0,0,
Bromoxynil octanoate,,,,316,0,315,1,0,0,
Dimoxystrobin,,,,312,0,312,0,0,0,
"Octylphenols (CAS 1806-26-4) including isomer 4-(1,1',3,3'-tetramethylbutyl)-phenol (CAS 140-66-9)",,,,309,0,302,0,0,0,
Desamino-diketo-metribuzin,,,,304,0,304,0,0,0,
O-desmethylvenlafaxine,,,,301,0,154,0,0,0,
Chromium (III),,,,289,0,195,94,0,0,
"Total PAHs (Benzo(a)pyrene, Benzo(b)fluoranthene, Benzo(k)fluoranthene, Benzo(ghi)perylene, Indeno(1,2,3-cd)pyrene)",,,,269,0,266,0,0,0,
Desmedipham,,,,268,0,268,0,0,0,
Methabenzthiazuron,,,,258,0,258,0,0,0,
Flufenacet,,,,251,0,250,0,0,0,
"1,3-dichloropropene",,,,236,0,167,69,0,0,
