lon,lat,country,country_pct_silent
17.78018,49.21731,CZ,3.337
17.42333,49.06223,CZ,3.337
17.65713,49.01854,CZ,3.337
17.39540,48.98237,CZ,3.337
17.71112,49.03043,CZ,3.337
17.27878,48.87804,CZ,3.337
17.66788,50.08275,CZ,3.337
17.84573,49.98695,CZ,3.337
17.93998,49.93229,CZ,3.337
18.21914,49.83216,CZ,3.337
18.29393,49.84723,CZ,3.337
18.29725,49.83081,CZ,3.337
18.62810,49.71817,CZ,3.337
17.98283,49.66313,CZ,3.337
18.21711,49.81978,CZ,3.337
18.32708,49.92029,CZ,3.337
17.98710,49.65685,CZ,3.337
18.16475,49.73517,CZ,3.337
17.68875,50.09860,CZ,3.337
17.89093,49.91141,CZ,3.337
17.33004,50.30354,CZ,3.337
18.51463,49.84906,CZ,3.337
18.12999,49.72637,CZ,3.337
18.29368,49.74173,CZ,3.337
18.56892,49.82954,CZ,3.337
18.32528,49.90286,CZ,3.337
17.91943,49.61749,CZ,3.337
18.02877,49.58734,CZ,3.337
17.98887,49.68443,CZ,3.337
18.06482,49.69228,CZ,3.337
18.18421,49.73127,CZ,3.337
18.21089,49.81459,CZ,3.337
18.19360,49.58221,CZ,3.337
17.58431,50.16208,CZ,3.337
17.77416,50.01943,CZ,3.337
17.81693,49.99248,CZ,3.337
17.88666,49.95387,CZ,3.337
18.29561,49.83148,CZ,3.337
18.36110,49.56776,CZ,3.337
18.36109,49.67276,CZ,3.337
18.32132,49.64033,CZ,3.337
18.46356,49.69831,CZ,3.337
18.41276,49.78804,CZ,3.337
18.36137,49.77971,CZ,3.337
18.33387,49.94860,CZ,3.337
18.62443,49.72776,CZ,3.337
18.53380,49.70816,CZ,3.337
18.48840,49.88786,CZ,3.337
17.39561,50.27228,CZ,3.337
17.73996,50.29194,CZ,3.337
17.20058,50.21295,CZ,3.337
17.20277,50.23249,CZ,3.337
17.19166,50.37943,CZ,3.337
17.03271,50.40523,CZ,3.337
18.07777,50.02971,CZ,3.337
18.27221,49.94026,CZ,3.337
18.47943,49.90096,CZ,3.337
17.93826,49.92660,CZ,3.337
18.50721,49.90248,CZ,3.337
17.56257,49.68907,CZ,3.337
17.69117,49.73788,CZ,3.337
18.15454,49.73492,CZ,3.337
18.12637,49.91454,CZ,3.337
18.20852,49.98089,CZ,3.337
17.16472,50.36304,CZ,3.337
17.16460,50.36200,CZ,3.337
17.33473,50.30388,CZ,3.337
18.20004,49.54921,CZ,3.337
17.36305,50.12582,CZ,3.337
17.47583,50.06387,CZ,3.337
18.27598,49.86710,CZ,3.337
18.35471,49.56776,CZ,3.337
18.48928,49.61428,CZ,3.337
18.44026,49.73665,CZ,3.337
18.37415,49.77665,CZ,3.337
17.71962,50.24217,CZ,3.337
17.74222,50.29832,CZ,3.337
16.96873,50.42266,CZ,3.337
17.08351,50.40535,CZ,3.337
17.04664,50.38428,CZ,3.337
16.92037,50.44181,CZ,3.337
18.03585,50.05223,CZ,3.337
14.15649,50.51115,CZ,3.337
13.58629,50.34047,CZ,3.337
13.44555,50.36828,CZ,3.337
13.53990,50.70689,CZ,3.337
13.29335,50.36410,CZ,3.337
13.11145,50.37008,CZ,3.337
12.98789,50.27761,CZ,3.337
12.84475,50.22741,CZ,3.337
12.62051,50.17265,CZ,3.337
12.39585,50.10629,CZ,3.337
12.48290,50.10445,CZ,3.337
13.44777,50.18324,CZ,3.337
14.03100,50.65720,CZ,3.337
12.64037,50.18338,CZ,3.337
12.83605,50.22728,CZ,3.337
12.84690,50.23342,CZ,3.337
